Offense Code,Offense_Category,Suggested Bin,Offense,Citation,Statute,L/D
26990101,1900,bin_19_fraud_forgery,USE ILLEGAL LICENSE/CERTIFICATE,521.455,TRC,MA
26990102,1900,,,,,
26990103,1900,bin_19_fraud_forgery,SUBDIVISION OF PLAT NEAL PROPERTY,12.002(e),PRC,M*
26990104,1800,bin_18_unlawful_representation_use,REPRESENT AS ATTORNEY,406.017,GC,MA
26990105,1800,bin_18_unlawful_representation_use,REPRESENT AS ATTORNEY W/PREV CONVIC,406.017,GC,F3
26990107,1900,bin_19_fraud_forgery,UNL USE OF  FUNDS FOR HUMAN SERVICES,12.002,HRC,F*
26990108,1900,bin_19_fraud_forgery,APPROPRIATION PROCEEDS SALES BY COMMS MERCHANT,147.064(a),AGC,F*
26990109,1900,bin_19_fraud_forgery,APPROPRIATION PROCEEDS SALES BY AUCTION COMMS,147.064(b),AGC,M*
26990111,1900,bin_19_fraud_forgery,UNL USE PUBLIC FUNDS FOR POLITICAL ADVERTISING,255.003,EC,MA
26990113,1900,bin_19_fraud_forgery,FALSE SPECIMEN PARENTAL DNA TEST,160.512(b),FC,F3
26990114,1900,bin_19_fraud_forgery,CORPORATE ENTERS CONTRACT OF ACCEPTANCE UNL,1528h,VCS,M*
26990116,1900,bin_19_fraud_forgery,MISAPP TRUST FUND >=$500 DEFRAUD,162.032(b),PRC,F3
26990117,1900,bin_19_fraud_forgery,MISAPP TRUST FUND >=$500,162.032(a),PRC,MA
26990119,1900,bin_19_fraud_forgery,DEALER OR AGENT W/O REGISTRATION,581-29(A),VCS,F*
26990120,1900,bin_19_fraud_forgery,FRAUD SELL SECURITIES >=$100K,581-29(C)(1)(c),VCS,F*
26990121,1900,bin_19_fraud_forgery,FRAUD SELL SECURITIES >= $10K< $100K,581-29(C)(1)(b),VCS,F*
26990122,1900,bin_19_fraud_forgery,FRAUD SELL SECURITIES <$10K,581-29(C)(1)(a),VCS,F*
26990123,1900,bin_19_fraud_forgery,EMPLOY DEVICE SCHEME DEF SECURITY >=$100K,581-29(C)(2)(c),VCS,F*
26990124,1900,bin_19_fraud_forgery,EMPLOY DEVICE SCHEME DEF SECURITY >=$10K<$100K,581-29(C)(2)(b),VCS,F*
26990125,1900,bin_19_fraud_forgery,EMPLOY DEVICE SCHEME DEF SECURITY <$10K,581-29(C)(2)(a),VCS,F*
26990126,1900,bin_19_fraud_forgery,FRAUD SECURITY BUS PRACTICE >=$10K <$100K,581-29(C)(4)(b),VCS,F*
26990127,1900,bin_19_fraud_forgery,FRAUD SECURITY BUS PRACTICE >=$100K,581-29(C)(4)(c),VCS,F*
26990128,1900,bin_19_fraud_forgery,FRAUD SECURITY BUS PRACTICE W/ SECURITY <$10K,581-29(C)(4)(a),VCS,F*
26990129,1900,bin_19_fraud_forgery,TAMPER W/ODOMETER,727.002,TRC,M*
26990131,1900,bin_19_fraud_forgery,FRAUD TELECOMMUNICATION SERVICE,186.032,TUC,M*
26990132,1900,bin_19_fraud_forgery,FRAUD TELECOMMUNICATION SERVICE 2ND,186.032,TUC,F*
26990134,1900,bin_19_fraud_forgery,UNL USE INTERNAL MAIL SYSTEM FOR POLITICAL ADV,255.0031,EC,MA
26990135,1900,bin_19_fraud_forgery,UNSOLICITED ELECTRONIC MAIL MESSAGES,46.005,BCC,MB
26990137,1900,bin_19_fraud_forgery,PREVENTION DETECTION OF FRAUD  MEDICAL ASSIST,32.0391,HRC,FS
26990141,1900,bin_19_fraud_forgery,BARRATRY ILL OBTAIN EMPLOYMENT,38.12(f),PC,F3
26990142,1900,,,,,
26990146,1900,bin_19_fraud_forgery,CLAIM LOTTERY PRIZE FRAUD >$10K,466.308(c)(2),GC,F2
26990147,1900,bin_19_fraud_forgery,CLAIM LOTTERY PRIZE FRAUD >$200<=$10K,466.308(c)(1),GC,F3
26990148,1900,bin_19_fraud_forgery,CLAIM LOTTERY PRIZE FRAUD AID ANOTHER,466.308(a)(2),GC,MA
26990149,1900,bin_19_fraud_forgery,CLAIM LOTTERY PRIZE FRAUD/DECEIT,466.308(a)(1),GC,MA
26990150,1900,bin_19_fraud_forgery,CLAIM LOTTERY PRIZE W/PREV CONVIC,466.308(c)(3),GC,F3
26990151,1900,bin_19_fraud_forgery,FRAUD/SUBSTANDARD OR FICTITIOUS DEGREE,32.52(c),PC,MB
26990152,1900,,,,,
26990153,1900,,,,,
26990154,1900,,,,,
26990155,1900,,,,,
26990157,1900,bin_19_fraud_forgery,OIL SPILL VESSEL WRECK/DISMANTLE/LEFT IN PLACE,40.108,NRC,MA
26990158,1900,bin_19_fraud_forgery,OPERATE DERELICT VESSELS OR STRUCTURES,40.251,NRC,MA
26990161,1900,bin_19_fraud_forgery,SECURITIES W/OUT REGISTRATION,581-29(B),VCS,F*
26990163,1900,bin_19_fraud_forgery,IDENTITY THEFT BY ELECTRONIC DEVICE,35.60(c),BCC,MB
26990164,1900,bin_19_fraud_forgery,IDENTITY THEFT BY ELECTRONIC DEVICE,522.002(b),BCC,MB
26990165,1900,bin_19_fraud_forgery,SECURE EXECUTION DOC BY DECEPTION PUB SERVANT,32.46(c),PC,FS
26990166,1900,bin_19_fraud_forgery,UNAUTH SELLER/DISTRIBUTOR TEMPORARY TAGS,503.094(d)(2),TRC,MA
26990167,1900,bin_19_fraud_forgery,TEMPORARY TAG FOR DIST TO UNAUTH PERSON,503.094(d)(3),TRC,FS
26990168,1900,bin_19_fraud_forgery,ORGANIZED CRIM ACTIVITY - TEMPORARY TAG,503.094(d)(4),TRC,FS
26990169,1900,bin_19_fraud_forgery,WORKERS LIEN,70.001(f),PRC,MB
26990170,1900,bin_19_fraud_forgery,TAMPER W/GOVERN RCD LIC/SEAL DEFRAUD/HARM IAT,37.10(c)(2)(A),PC,F2
26990171,1900,bin_19_fraud_forgery,TAMPER W/GOV SCHOOL RECORD LIC/SEAL/PERM IAT,37.10(c)(2)(A),PC,F3
26990172,1900,bin_19_fraud_forgery,MISREP BY FORMER OFFICER/EMPL OF REGULATORY AG,572.054,GC,MA
26990175,1900,bin_19_fraud_forgery,SOLICIT PURCHASE REG MATERIAL UNAUTH LOCATION,1956.203(b),OC,MB
26990176,1900,bin_19_fraud_forgery,REPRESENTATION BY FORMER BOARD MEMBER OR OTHER,2306.6733(b),GC,MA
26990177,1900,bin_19_fraud_forgery,DISPLAY FICTITIOUS LICENSE PLATE,504.945(e),TRC,MB
26990178,1900,bin_19_fraud_forgery,DISPLAY FICTITIOUS MOTOR VEHICLE REGISTRATION,502.475(d),TRC,MB
26990179,1900,bin_19_fraud_forgery,SELL/PURCH WATER VESS W/ALTERED ID/SERIAL NUM,31.127(b),PWC,MA
26990180,1900,bin_19_fraud_forgery,THEFT: ACQUISITION OF FINANCIAL INFORMATION,31.17(c),PC,MB
26990181,1900,bin_19_fraud_forgery,THEFT: TRANSFER OF FINANCIAL INFORMATION,31.17(c),PC,MA
26990182,1900,bin_19_fraud_forgery,REGISTRATION REQ/HOURS/REPORT W/PREV IAT,1956.040(a-2),OC,FS
26990183,1900,bin_19_fraud_forgery,REGISTRATION REQ/HOURS/REPORT,1956.040(a-2),OC,MA
26990184,1900,bin_19_fraud_forgery,MAN/SELL DECEPTIVELY SIMILAR REGIST INSIGNIA,502.4755(e)(1),TRC,F3
26990185,1900,bin_19_fraud_forgery,POSS DECEPT SIMILAR REGIS INSIGNIA W/PREV CONV,502.4755(e)(2),TRC,MB
26990186,1900,bin_19_fraud_forgery,MAN/SELL DECEPTIVELY SIMILAR LIC PLATE,504.946(e)(1),TRC,F3
26990187,1900,bin_19_fraud_forgery,POSS DECEPTIVELY SIMILAR LIC PLATE W/PREV CONV,504.946(e)(2),TRC,MB
26990188,1900,bin_19_fraud_forgery,LICENSE PLATE FLIPPER VIOLATION W/PREV CONV,504.947(b),TRC,MB
26990189,1900,bin_19_fraud_forgery,PURCHASE/POSS LICENSE PLATE FLIPPER CRIM NEG,504.946(b),TRC,MB
26990190,1900,bin_19_fraud_forgery,DISTRIBUTE LICENSE PLATE FLIPPER CRIM NEG,504.946(c),TRC,MA
26990191,1900,bin_19_fraud_forgery,ALTER/DEST/REMOVE REQ IDENT NUM ON VESSELS,31.127(b),PWC,MB
26990192,1900,bin_19_fraud_forgery,BARRATRY ILL OBTAIN EMPLOYMENT,38.12(g),PC,MA
26990193,1900,bin_19_fraud_forgery,BARRATRY ILL OBTAIN EMPLOYMENT W/PREV CONV IAT,38.12(h),PC,F3
26990194,1900,bin_19_fraud_forgery,IDENT SIGNS/CERTIFICATE CITRUS TRUCK/TRACTOR,102.104(b),AGC,MB
26990195,1900,bin_19_fraud_forgery,EXHIBIT ANIMALS W/OUT CERTIFICATE W/PREV IAT,161.136(c),AGC,MB
26990196,1900,bin_19_fraud_forgery,FAIL TO MAINTAIN ANIMAL DEALER RECORDS,161.147(b),AGC,MB
26990197,1900,bin_19_fraud_forgery,DECEPT BUSIN PRACT W/PREV CONV/INTEN/KNOW/RECK,32.42(c)(2),PC,MA
26990198,1900,bin_19_fraud_forgery,DECEPTIVE BUSINESS PRACTICE,32.42(d),PC,MA
26990199,1900,bin_19_fraud_forgery,NONREPAIRABLE MOTOR VEHICLE W/PREV CONV IAT,501.109(e)(1),TRC,MB
26990200,1900,bin_19_fraud_forgery,NONREPAIRABLE MOTOR VEHICLE W/2+ PREV CONV IAT,501.109(e)(2),TRC,FS
26990201,1900,bin_19_fraud_forgery,VEH INSPECTION RPT/INSURANCE DOC VIOLATION,548.603(d),TRC,MB
26990202,1900,bin_19_fraud_forgery,DISPOSE SEC PROP W/INTENT APPROP >=$100<$750,32.33(e)(2),PC,MB
26990203,1900,bin_19_fraud_forgery,"DISPOSE SEC PROP W/INTENT APPROP >=$750<$2,500",32.33(e)(3),PC,MA
26990204,1900,bin_19_fraud_forgery,"DISPOSE SEC PROP W/INTENT APPROP >=$2,500<$30K",32.33(e)(4),PC,FS
26990205,1900,bin_19_fraud_forgery,DISPOSE SEC PROP W/INTENT APPROP >=$30K<$150K,32.33(e)(5),PC,F3
26990206,1900,bin_19_fraud_forgery,DISPOSE SEC PROP W/INTENT APPROP >=$150K<$300K,32.33(e)(6),PC,F2
26990207,1900,bin_19_fraud_forgery,DISPOSE SEC PROP W/INTENT APPROP >=$300K,32.33(e)(7),PC,F1
26990208,1900,bin_19_fraud_forgery,ILLEGAL RECRUIT OF ATHLETE >=$100<$750,32.441(e)(2),PC,MB
26990209,1900,bin_19_fraud_forgery,"ILLEGAL RECRUIT OF ATHLETE >=$750<$2,500",32.441(e)(3),PC,MA
26990210,1900,bin_19_fraud_forgery,"ILLEGAL RECRUIT OF ATHLETE >=$2,500<$30K",32.441(e)(4),PC,FS
26990211,1900,bin_19_fraud_forgery,ILLEGAL RECRUIT OF ATHLETE >=$30K<$150K,32.441(e)(5),PC,F3
26990212,1900,bin_19_fraud_forgery,ILLEGAL RECRUIT OF ATHLETE >=$150K<$300K,32.441(e)(6),PC,F2
26990213,1900,bin_19_fraud_forgery,ILLEGAL RECRUIT OF ATHLETE >=$300K,32.441(e)(7),PC,F1
26990214,1900,bin_19_fraud_forgery,MISAPP FIDUC/FINAN PROP >=$100<$750,32.45(c)(2),PC,MB
26990215,1900,bin_19_fraud_forgery,"MISAPP FIDUC/FINAN PROP >=$750<$2,500",32.45(c)(3),PC,MA
26990216,1900,bin_19_fraud_forgery,"MISAPP FIDUC/FINAN PROP >=$2,500<$30K",32.45(c)(4),PC,FS
26990217,1900,bin_19_fraud_forgery,MISAPP FIDUC/FINAN PROP >=$30K<$150K,32.45(c)(5),PC,F3
26990218,1900,bin_19_fraud_forgery,MISAPP FIDUC/FINAN PROP >=$150K<$300K,32.45(c)(6),PC,F2
26990219,1900,bin_19_fraud_forgery,MISAPP FIDUC/FINAN PROP>=$300K,32.45(c)(7),PC,F1
26990220,1900,bin_19_fraud_forgery,SECURE EXECUTION DOC DECEPT >=$100<$750,32.46(b)(2),PC,MB
26990221,1900,bin_19_fraud_forgery,"SECURE EXECUTION DOC DECEPT >=$750<$2,500",32.46(b)(3),PC,MA
26990222,1900,bin_19_fraud_forgery,"SECURE EXECUTION DOC DECEPT >=$2,500<$30K",32.46(b)(4),PC,FS
26990223,1900,bin_19_fraud_forgery,SECURE EXECUTION DOC DECEPT >=$30K<$150K,32.46(b)(5),PC,F3
26990224,1900,bin_19_fraud_forgery,SECURE EXECUTION DOC DECEPT >=$150K<$300K,32.46(b)(6),PC,F2
26990225,1900,bin_19_fraud_forgery,SECURE EXECUTION DOC DECEPT >=$300K,32.46(b)(7),PC,F1
26990226,1900,bin_19_fraud_forgery,MISAPP FIDUC/FINAN PROP <$100 ENH IAT,32.45(d),PC,MB
26990227,1900,bin_19_fraud_forgery,MISAPP FIDUC/FINAN PROP >=$100<$750 ENH IAT,32.45(d),PC,MA
26990228,1900,bin_19_fraud_forgery,"MISAPP FIDUC/FINAN PROP >=$750<$2,500 ENH IAT",32.45(d),PC,FS
26990229,1900,bin_19_fraud_forgery,"MISAPP FIDUC/FINAN PROP >=$2,500<$30K ENH IAT",32.45(d),PC,F3
26990230,1900,bin_19_fraud_forgery,MISAPP FIDUC/FINAN PROP >=$30K<$150K ENH IAT,32.45(d),PC,F2
26990231,1900,bin_19_fraud_forgery,MISAPP FIDUC/FINAN PROP >=$150K<$300K ENH IAT,32.45(d),PC,F1
26990232,1900,bin_19_fraud_forgery,FALSE CALLER ID INFORMATION,33A.051(b),PC,MA
26990233,1900,bin_19_fraud_forgery,FRAUD DESTROY REMOVAL CONCEALMENT WRITING,32.47(c),PC,MA
26990234,1900,bin_19_fraud_forgery,FRAUD/DESTRY/REM/CONC PRICE TAG =$100<$750,32.47(e)(2),PC,MB
26990235,1900,bin_19_fraud_forgery,FRAUD/DESTRY/REM/CONC PRICE TAG =$750<$2500,32.47(e)(3),PC,MA
26990236,1900,bin_19_fraud_forgery,FRAUD/DESTRY/REM/CONC PRICE TAG =$2500<$30K,32.47(e)(4),PC,FS
26990237,1900,bin_19_fraud_forgery,FRAUD/DESTRY/REM/CONC PRICE TAG =$30K<$150K,32.47(e)(5),PC,F3
26990238,1900,bin_19_fraud_forgery,FRAUD/DESTRY/REM/CONC PRICE TAG =$150K<$300K,32.47(e)(6),PC,F2
26990239,1900,bin_19_fraud_forgery,FRAUD/DESTRY/REM/CONC PRICE TAG =>$300K,32.47(e)(7),PC,F1
26990240,1900,bin_19_fraud_forgery,PAYMENT WITH INSURANCE PROCEEDS SELLER VIOL,27.02(d),BCC,MB
26990241,1900,bin_19_fraud_forgery,UNAUTHORIZED INSURANCE BUSINESS,101.106(b),IC,F3
26990242,1900,bin_19_fraud_forgery,INSURANCE HOLDING COMPANY INDIVIDUAL FRAUD,823.501(d),IC,F*
26990243,1900,bin_19_fraud_forgery,INVESTMENT/DEPOSIT OF FUNDS VIOLATION,882.702(b),IC,F*
26990244,1900,bin_19_fraud_forgery,DIVERSION OF SPECIAL FUNDS,887.702(b),IC,F*
26999999,1900,bin_19_fraud_forgery,FRAUD-CHECKS CLASS C,CLASS C,X,MC
27010001,1600,bin_16_theft,WAREHOUSEMAN DELIVERY OF GOODS W/O RECEIPT,251.006(c),BCC,M*
27999999,1600,bin_16_theft,EMBEZZLEMENT CLASS C,CLASS C,X,MC
28010011,2000,bin_20_selling stolen_unauthorized_items,SELL STOLEN REGULATED MATERIALS,1956.040(c),OC,FS
28010012,2000,bin_20_selling stolen_unauthorized_items,SELL STOLEN REGULATED MATERIALS W/PREV IAT,1956.040(c),OC,F3
28030002,2000,bin_20_selling stolen_unauthorized_items,STEALING RECEIVING STOLEN CHECK,32.24,PC,MA
28030003,2000,bin_20_selling stolen_unauthorized_items,PURCHASE STOLEN REGULATED MATERIAL W/PREV IAT,1956.040(b-1),OC,FS
28030004,2000,bin_20_selling stolen_unauthorized_items,PURCHASE STOLEN REGULATED MATERIALS,1956.040(b-1),OC,MA
28990001,2000,bin_20_selling stolen_unauthorized_items,PURCHASE SALE TRANSP TATTOO LIVESTOCK W/O CONS,144.128,AGC,F*
28990002,2000,bin_20_selling stolen_unauthorized_items,UNAUTH DUPLICATION RECORDING >100 W/I 180D,641.051(c)(1)(2),BCC,F*
28990003,2000,bin_20_selling stolen_unauthorized_items,UNAUTH DUPLICATION RECORDING <=100,641.051(c)(3),BCC,M*
28990004,2000,bin_20_selling stolen_unauthorized_items,UNAUTH RECORDING >100 LIVE/>7 AV W/I 180D,641.052(b)(1)(2),BCC,F*
28990005,2000,bin_20_selling stolen_unauthorized_items,UNAUTH RECORDING <=100 LIVE/<=7 AV,641.052(b)(3),BCC,M*
28990006,2000,bin_20_selling stolen_unauthorized_items,UNAUTH OPERATION RECORDING DEVICE IN THEATER,641.053(c),BCC,MA
28990007,2000,bin_20_selling stolen_unauthorized_items,UNAUTH OPER RECORD DEVICE THEATER W/PREV CONV,641.053(c)(1),BCC,FS
28990008,2000,bin_20_selling stolen_unauthorized_items,UNAUTH OP RECORD DEVICE THEATER W/2+ PREV CONV,641.053(c)(2),BCC,F3
28990010,2000,bin_20_selling stolen_unauthorized_items,LABELING UNAUTH RECORDING,641.054(b)(3),BCC,M*
28990011,2000,bin_20_selling stolen_unauthorized_items,LABELING UNAUTH RCRDING 65+ W/I 180D/PREV CONV,641.054(b)(1),BCC,F*
28990012,2000,bin_20_selling stolen_unauthorized_items,LABELING UNAUTH RECORDING >7<65 W/I 180D,641.054(b)(2),BCC,F*
28990013,1600,bin_16_theft,"THEFT OF CARGO >=$1,500<$10,000",31.18(c)(1),PC,FS
28990014,1600,bin_16_theft,"THEFT OF CARGO >=$10,000<$100K",31.18(c)(2),PC,F3
28990015,1600,bin_16_theft,THEFT OF CARGO >=$100K<$200K,31.18(c)(3),PC,F2
28990016,1600,bin_16_theft,THEFT OF CARGO >=$200K,31.18(c)(4),PC,F1
28990017,1600,bin_16_theft,THEFT CONTROLLED SUBSTANCE <$150K,31.03(e)(5)(C),PC,F3
28990136,1600,bin_16_theft,STEALING GRAIN OR RECEIVING STOLEN GRAIN,14.078,AGC,F2
29010001,2100,bin_21_vandalism,TAMPER W/LOTTERY EQUIPMENT,466.309(a),GC,F3
29010002,2100,bin_21_vandalism,INTERFERE RAILROAD PROPERTY >=$100<$750,28.07(e)(1),PC,MB
29010003,2100,bin_21_vandalism,"INTERFERE RAILROAD PROPERTY >=$750<$2,500",28.07(e)(2),PC,MA
29010004,2100,bin_21_vandalism,"INTERFERE RAILROAD PROPERTY >=$2,500<$30K",28.07(e)(3),PC,FS
29010005,2100,bin_21_vandalism,INTERFERE RAILROAD PROPERTY >=$30K<$150K,28.07(e)(4),PC,F3
29010006,2100,bin_21_vandalism,INTERFERE RAILROAD PROPERTY >=$150K<$300K,28.07(e)(5),PC,F2
29010007,2100,bin_21_vandalism,INTERFERE RAILROAD PROPERTY >=$300K,28.07(e)(6),PC,F1
29030001,2100,bin_21_vandalism,INJURY DESTROY PIPELINE FACILITIES,117.054,NRC,F*
29030006,2100,bin_21_vandalism,DAMAGE MARKERS W/ PREV CONVIC,12.017(b),PWC,MB
29030007,2100,bin_21_vandalism,VANDALIZE CAVE,201.041(a)(1),NRC,MA
29030008,2100,bin_21_vandalism,VANDALIZE CAVE W/PREV CONV,201.041(a)(1),NRC,F3
29030009,2100,bin_21_vandalism,INJURY DRAINAGE CANAL/DITCH,56.128,WC,M*
29030010,2100,bin_21_vandalism,INJURY LEVEES,57.103,WC,M*
29030011,2100,bin_21_vandalism,REMOVE ALTER/DESTROY QUARANTINE DEVICES,81.088(a)(1),HSC,MB
29030012,2100,bin_21_vandalism,"CRIMINAL MISCHIEF IMP/INT PUB SERVICE <$30,000",28.03(b)(4)(D),PC,FS
29060001,2100,bin_21_vandalism,"CRIMINAL MISCHIEF <$2,500 HABITATION W/FA/EXPL",28.03(b)(4)(B),PC,FS
29990004,2100,,,,,
29990005,2100,,,,,
29990006,2100,,,,,
29990007,2100,,,,,
29990011,2100,,,,,
29990018,2100,bin_21_vandalism,DESTRUCTION OF WATER WORKS,11.088,WC,F*
29990022,2100,bin_21_vandalism,CRIMINAL MISCHIEF DAMAGE/DESTR WORSHIP/SCHOOL,28.03(f),PC,FS
29990023,2100,bin_21_vandalism,CRIMINAL MISCHIEF FOR MAD COW DISEASE,28.03(i),PC,F1
29990024,2100,bin_21_vandalism,USE FLAME EFFECT OR PYROTECHNICS VIOL,2154.253,OC,MA
29990026,2100,bin_21_vandalism,DESTROY/INTERFERE/SABOTAGE UTILITY FACIL/EQUIP,1446a(5),VCS,F*
29990027,2100,bin_21_vandalism,CRIMINAL MISCHIEF IMPAIR/INTERRUPT PUB SERVICE,28.03(b)(3)(B),PC,MA
29990031,2100,bin_21_vandalism,INTERFERE W/OYSTER BOUY/MARKER,76.040(b),PWC,MB
29990032,2100,bin_21_vandalism,INTERFERE W/OYSTER BOUY/MARKER PREV CONV,76.040(c),PWC,MA
29990033,2100,bin_21_vandalism,INTERFERE W/OYSTER BOUY/MARKER 2+ PREV CONV,76.040(d),PWC,F*
29990034,2100,bin_21_vandalism,ANTIQUITIES CODE VIOLATION,191.171,NRC,MB
29990035,2100,bin_21_vandalism,PERMIT REQUIRED FOR CAVERN DEFACE,201.014,NRC,MA
29990036,2100,bin_21_vandalism,PERMIT REQUIRED FOR CAVERN DEFACE W/PREV CONV,201.014,NRC,FS
29990038,2100,,,,,
29990039,2100,,,,,
29990040,2100,,,,,
29990042,2100,bin_21_vandalism,CRIMINAL MISCHIEF >=$100<$750,28.03(b)(2),PC,MB
29990043,2100,bin_21_vandalism,"CRIMINAL MISCHIEF >=$750<$2,500",28.03(b)(3)(A),PC,MA
29990044,2100,bin_21_vandalism,"CRIMINAL MISCHIEF >=$2,500<$30K",28.03(b)(4)(A),PC,FS
29990045,2100,bin_21_vandalism,"CRIMINAL MISCHIEF <$2,500 LS/GAME ANIM FENCE",28.03(b)(4)(C),PC,FS
29990046,2100,,,,,
29990047,2100,bin_21_vandalism,CRIMINAL MISCHIEF >=$150K<$300K,28.03(b)(6),PC,F2
29990048,2100,bin_21_vandalism,CRIMINAL MISCHIEF >=$300K,28.03(b)(7),PC,F1
29990049,2100,bin_21_vandalism,CRIMINAL MISCHIEF >=$750<$30K DESTROY SCHOOL,28.03(h),PC,FS
29990050,2100,bin_21_vandalism,"CRIM MISCHIEF TRANS/COMM EQUIP/DEV <$150,000",28.03(j),PC,F3
29990051,2100,bin_21_vandalism,GRAFFITI PECUNIARY LOSS >=$100<$750,28.08(b)(2),PC,MB
29990052,2100,bin_21_vandalism,"GRAFFITI PECUNIARY LOSS >=$750<$2,500",28.08(b)(3),PC,MA
29990053,2100,bin_21_vandalism,"GRAFFITI PECUNIARY LOSS >=$2,500<$30K",28.08(b)(4),PC,FS
29990054,2100,bin_21_vandalism,GRAFFITI PECUNIARY LOSS >=$30K<$150K,28.08(b)(5),PC,F3
29990055,2100,bin_21_vandalism,GRAFFITI PECUNIARY LOSS >=$150K<$300K,28.08(b)(6),PC,F2
29990056,2100,bin_21_vandalism,GRAFFITI PECUNIARY LOSS >=$300K,28.08(b)(7),PC,F1
29990057,2100,bin_21_vandalism,GRAFFITI WRSHP BURIAL/MNMENT/SCH >=$750<$30K,28.08(d),PC,FS
29990058,900,bin_09_harassment ,HINDER SECURED CREDITORS >=$100<$750,32.33(d)(2),PC,MB
29990059,900,bin_09_harassment ,"HINDER SECURED CREDITORS >=$750<$2,500",32.33(d)(3),PC,MA
29990060,900,bin_09_harassment ,"HINDER SECURED CREDITORS >=$2,500<$30K",32.33(d)(4),PC,FS
29990061,900,bin_09_harassment ,HINDER SECURED CREDITORS >=$30K<$150K,32.33(d)(5),PC,F3
29990062,900,bin_09_harassment ,HINDER SECURED CREDITORS >=$150K<$300K,32.33(d)(6),PC,F2
29990063,900,bin_09_harassment ,HINDER SECURED CREDITORS >=$300K,32.33(d)(7),PC,F1
29990064,2100,bin_21_vandalism,DISABLING FIRE EXIT ALARMS,793.002(b),HSC,MA
29990065,2100,bin_21_vandalism,CRIMINAL MISCHIEF >=$30K<$150K,28.03(b)(5)(A),PC,F3
29990066,2100,bin_21_vandalism,CRIM MISCHIEF FIREARM/WEAPON DEATH LIVESTOCK,28.03(b)(5)(B),PC,F3
35000020,2200,,,,,
35000023,2200,,,,,
35000039,2200,,,,,
35040000,2200,,,,,
35100000,2200,,,,,
35110000,2200,,,,,
35120000,2200,,,,,
35310000,2200,,,,,
35320000,2200,,,,,
35410000,2200,,,,,
35420000,2200,,,,,
35430000,2200,,,,,
35430001,2200,bin_22_drugs_paraphernalia,POSS CS PG2-A 4OZ<5LB DFZ IAT,481.134(d),HSC,F3
35500015,2200,bin_22_drugs_paraphernalia,POSS DEL DRUG PARAPHERNALIA,481.125(b),HSC,MA
35500019,2200,bin_22_drugs_paraphernalia,TRANSFER RECEIPT CHEMICAL LAB APPARATUS ENH,481.138,HSC,F3
35500020,2200,bin_22_drugs_paraphernalia,TRANSFER RECEIPT CHEMICAL LAB APPARATUS,481.138,HSC,FS
35500043,2200,bin_22_drugs_paraphernalia,POSS DEL DRUG PARAPHERNALIA TO PERON U/18YR,481.125,HSC,FS
35610000,2200,,,,,
35620000,2200,,,,,
35620003,2200,,,,,
35620008,2200,bin_22_drugs_paraphernalia,POSS MARIJ <2OZ,481.121(b)(1),HSC,MB
35620009,2200,bin_22_drugs_paraphernalia,POSS MARIJ >2OZ<=4OZ,481.121(b)(2),HSC,MA
35620010,2200,bin_22_drugs_paraphernalia,POSS MARIJ >4OZ<=5LBS,481.121(b)(3),HSC,FS
35620011,2200,bin_22_drugs_paraphernalia,POSS MARIJ >5LBS<=50LBS,481.121(b)(4),HSC,F3
35620012,2200,bin_22_drugs_paraphernalia,"POSS MARIJ >50LBS<=2,000LBS",481.121(b)(5),HSC,F2
35620013,2200,bin_22_drugs_paraphernalia,"POSS MARIJ >2,000LBS",481.121(b)(6),HSC,F*
35620014,2200,,,,,
35620015,2200,,,,,
35620017,2200,,,,,
35620018,2200,bin_22_drugs_paraphernalia,POSS MARJ 4OZ<5LB DFZ IAT,481.134(d),HSC,F3
35620019,2200,bin_22_drugs_paraphernalia,POSS MARJ 2OZ<4OZ DFZ IAT,481.134(e),HSC,FS
35620020,2200,bin_22_drugs_paraphernalia,POSS MARJ <2OZ DFZ IAT,481.134(f),HSC,MA
35640010,2200,bin_22_drugs_paraphernalia,DEL MARIJ <= 1/4 OZ,481.120(b)(1),HSC,MB
35640011,2200,bin_22_drugs_paraphernalia,DEL MARIJ <= 1/4 OZ REMUNERATION,481.120(b)(2),HSC,MA
35640012,2200,bin_22_drugs_paraphernalia,DEL MARIJ >1/4 OZ<=5LBS,481.120(b)(3),HSC,FS
35640013,2200,bin_22_drugs_paraphernalia,DEL MARIJ >5LBS<=50LBS,481.120(b)(4),HSC,F2
35640014,2200,bin_22_drugs_paraphernalia,"DEL MARIJ >50LBS<=2,000LBS",481.120(b)(5),HSC,F1
35640015,2200,bin_22_drugs_paraphernalia,"DEL MARIJ >2,000LBS",481.120(b)(6),HSC,F*
35640017,2200,,,,,
35640021,2200,bin_22_drugs_paraphernalia,DEL MARJ 1/4OZ<5LB DFZ IAT,481.134(d),HSC,F3
35640022,2200,bin_22_drugs_paraphernalia,DEL MARJ <1/4OZ REMUNERATION DFZ IAT,481.134(e),HSC,FS
35640023,2200,bin_22_drugs_paraphernalia,DEL MARJ <1/4OZ DFZ IAT,481.134(f),HSC,MA
35700000,2200,,,,,
35710000,2200,,,,,
35720000,2200,,,,,
35730000,2200,,,,,
35840000,2200,,,,,
35990000,2200,,,,,
35990001,2200,bin_22_drugs_paraphernalia,MAN DEL CS PG 1 <1G,481.112(b),HSC,FS
35990002,2200,bin_22_drugs_paraphernalia,MAN DEL CS PG 1 >=1G<4G,481.112(c),HSC,F2
